NAME,CAPTION,DESCRIPTION
HOSPCODE,รหัสหน่วยบริการ,รหัสหน่วยบริการ ตามมาตรฐานกองยุทธศาสตร์และแผนงาน
PID,ทะเบียนบุคคล,ทะเบียนของบุคคลที่มาขึ้นทะเบียนในหน่วยบริการนั้นๆ ใช้สำหรับเชื่อมโยง หาตัวบุคคลในแฟ้มอื่น ๆ (สามารถกำหนดได้ตั้งแต่ 1-15 หลัก)
SEQ,ลำดับที่,ลำดับที่ของการบริการที่กำหนดโดยโปรแกรมเรียงลำดับโดยไม่ซ้ำกัน สำหรับการมารับบริการแต่ละครั้ง (visit) หมายเหตุ : ในกรณีที่มารับบริการ (visit) หลายคลินิกใน 1 ครั้ง ให้มีลำดับ การให้บริการเป็นตัวเลข เดียวกัน
DATE_SERV,วันที่ให้บริการ,วันเดือนปีที่มารับบริการ กำหนดเป็น ค.ศ. (YYYYMMDD) หมายเหตุ : กรณีที่บันทึกข้อมูลย้อนหลัง ให้เปลี่ยนวันกลับเป็นวันที่รับ บริการจริง
DENTTYPE,รหัสประเภทผู้ได้รับบริการ ตรวจสภาวะทันตสุขภาพ,"1=กลุ่มหญิงตั้งครรภ์, 2=กลุ่มเด็กก่อนวัยเรียน(อายุ 0-5 ปี), 3=กลุ่มเด็กวัยเรียน(อายุ 6-12 ปี), 4=กลุ่มผู้สูงอายุ(อายุ 60 ปีขึ้นไป), 5=กลุ่มอื่นๆ (นอกเหนือจาก 4 กลุ่มแรก)"
SERVPLACE,รหัสบริการใน-นอกหน่วยบริการ,"1=ในหน่วยบริการ, 2=นอกหน่วยบริการ"
PTEETH,จำนวนฟันแท้ที่มีอยู่ (ซี่),จำนวนฟันแท้ที่มีอยู่ (ซี่)
PCARIES,จำนวนฟันแท้ผุที่ไม่ได้อุด (ซี่),จำนวนฟันแท้ผุทั้ง กรณี ที่ยังไม่ได้อุด หรืออุดแล้วมีผุเพิ่ม (ซี่)
PFILLING,จำนวนฟันแท้ที่ได้รับการอุด (ซี่),จำนวนฟันแท้ที่ได้รับการอุด (ซี่)
PEXTRACT,จำนวนฟันแท้ที่ถอนหรือหลุด,จำนวนฟันแท้ที่ถอนหรือหลุด (ซี่)
DTEETH,จำนวนฟันน้ำนมที่มีอยู่ (ซี่),จำนวนฟันน้ำนมที่มีอยู่ (ซี่)
DCARIES,จำนวนฟันน้ำนมผุที่ไม่ได้อุด (ซี่),จำนวนฟันน้ำนมผุ ทั้งกรณีที่ยังไม่ได้อุด หรืออุดแล้วมีผุเพิ่ม (ซี่)
DFILLING,จำนวนฟันน้ำนมที่ได้รับการอุด (ซี่),จำนวนฟันน้ำนมที่ได้รับการอุด (ซี่)
DEXTRACT,จำนวนฟันน้ำนมที่ถอน(ซี่),จำนวน ฟันน้ำนมที่ถอน ไม่นับรวมกรณีหลุดตามอายุ (ซี่)
NEED_FLUORIDE,รหัสจำเป็นต้องทา/เคลือบ ฟลูออไรด์,"1=ต้องทา/เคลือบฟลูออไรด์, 2=ไม่ต้องทา/เคลือบฟลูออไรด์"
