hosname,hoscode,hsector,hostype,yeartransfer,region,pvcode,pvname,ampcode,ampname,tumcode,tumbonname
รพ.ตุลาการเฉลิมพระเกียรติ ,23987,อื่นๆ,12-โรงพยาบาล นอก สธ.,,5,73,73-นครปฐม,7307,07-พุทธมณฑล,730702,02-คลองโยง
คลินิกหมอครอบครัว รพ.เทศบาล เครือข่ายรพ.สระบุรี,77514,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,4,19,19-สระบุรี,1901,01-เมืองสระบุรี,190101,01-ปากเพรียว
ศูนย์บริการสาธารณสุขแห่งที่ 2 เทศบาลเมืองบางศรีเมือง,77473,อื่นๆ,17-โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,,4,12,12-นนทบุรี,1201,01-เมืองนนทบุรี,120107,07-บางศรีเมือง
ศูนย์สุขภาพชุมชนควนเนียง,77513,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,12,90,90-สงขลา,9013,13-ควนเนียง,901301,01-รัตภูมิ
ศูนย์สุขภาพชุมชนรพ.น้ำยืน,77512,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,10,34,34-อุบลราชธานี,3409,09-น้ำยืน,340907,07-สีวิเชียร
รพสต.นิบงบารู,77684,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,12,95,95-ยะลา,9501,01-เมืองยะลา,950116,16-สะเตงนอก
คลินิกหมอครอบครัวรพ.ระยอง(เนินพระ),77511,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,6,21,21-ระยอง,2101,01-เมืองระยอง,210109,09-เนินพระ
สถานพยาบาลสถานกักขังกลางจังหวัดร้อยเอ็ด,41376,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,7,45,45-ร้อยเอ็ด,4501,01-เมืองร้อยเอ็ด,450120,20-ดงลาน
สถานพยาบาลสถานกักขังกลางจังหวัดลำปาง,41377,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,1,52,52-ลำปาง,5201,01-เมืองลำปาง,520107,07-กล้วยแพะ
สถานพยาบาลสถานกักขังกลางจังหวัดนครศรีธรรมราช,41378,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,11,80,80-นครศรีธรรมราช,8020,20-พระพรหม,802001,01-นาพรุ
รพสต.บ้านดอนธรรม ตำบลใหม่พัฒนา,06157,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5203,03-เกาะคา,520309,09-ใหม่พัฒนา
รพสต.บ้านฮ่องห้า ตำบลน้ำโจ้,06222,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521006,06-น้ำโจ้
รพสต.บ้านแพะดอกเข็ม ตำบลแม่พริก,06212,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5209,09-แม่พริก,520901,01-แม่พริก
รพสต.บ้านจอมปิง ตำบลนาแก้ว,06150,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5203,03-เกาะคา,520302,02-นาแก้ว
รพสต.บ้านนิคม เขต7 ตำบลนิคมพัฒนา,06139,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5201,01-เมืองลำปาง,520118,18-นิคมพัฒนา
รพสต.บ้านกอรวก ตำบลจางเหนือ,06143,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5202,02-แม่เมาะ,520203,03-จางเหนือ
ศูนย์บริการสาธารณสุขลำปางหลวง ตำบลลำปางหลวง,06147,อื่นๆ,13-ศูนย์บริการสาธารณสุข,2560,1,52,52-ลำปาง,5203,03-เกาะคา,520301,01-ลำปางหลวง
ศูนย์สุขภาพชุมชนเมืองม่อนกระทิง,77507,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,1,52,52-ลำปาง,5201,01-เมืองลำปาง,520116,16-บ่อแฮ้ว
รพสต.บ้านกิ่วหลวง ตำบลบ้านกิ่ว,06220,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521004,04-บ้านกิ่ว
รพสต.บ้านบอมหลวง ตำบลบ้านบอม,06221,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521005,05-บ้านบอม
รพสต.บ้านเหล่า ตำบลเมืองยาว,06237,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5212,12-ห้างฉัตร,521203,03-เมืองยาว
รพสต.บ้านหนองขาม  ตำบลหนองหล่ม,06235,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5212,12-ห้างฉัตร,521202,02-หนองหล่ม
รพสต.บ้านอ้วน,06218,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521002,02-นาครัว
รพสต.บ้านไร่ ตำบลนายาง,06233,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5211,11-สบปราบ,521104,04-นายาง
รพสต.บ้านป่าไคร้ ตำบลหนองหล่ม,06234,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5212,12-ห้างฉัตร,521202,02-หนองหล่ม
รพสต.บ้านปงกา ตำบลแม่กัวะ,06231,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5211,11-สบปราบ,521103,03-แม่กัวะ
รพสต.บ้านสองแควใต้ ตำบลนาแก้ว,06149,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5203,03-เกาะคา,520302,02-นาแก้ว
รพสต.บ้านไหล่หิน ตำบลไหล่หิน,06151,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5203,03-เกาะคา,520303,03-ไหล่หิน
รพสต.บ้านปงป่าป๋อ ตำบลเสริมขวา,06158,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5204,04-เสริมงาม,520402,02-เสริมขวา
รพสต.บ้านแม่ต๋ำ ตำบลเสริมซ้าย,06160,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5204,04-เสริมงาม,520403,03-เสริมซ้าย
รพสต.บ้านท่าโป่ง ตำบลเสริมซ้าย,06161,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5204,04-เสริมงาม,520403,03-เสริมซ้าย
รพสต.บ้านดอกคำใต้ ตำบลแม่ตีบ,06174,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5205,05-งาว,520510,10-แม่ตีบ
รพสต.บ้านบ่อห้อ ตำบลบ้านแหง,06172,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5205,05-งาว,520508,08-บ้านแหง
รพสต.บ้านแม่ปุ ตำบลแม่ปุ,06214,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5209,09-แม่พริก,520903,03-แม่ปุ
รพสต.บ้านลานดอกไม้ตำบลลานดอกไม้ตก,07265,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,3,62,62-กำแพงเพชร,6211,11-โกสัมพีนคร,621103,03-ลานดอกไม้ตก
